timestamp,video_title,service,units,unit_label,cost_usd
2026-05-14T17:28:26,How Transformer Attention Actually Works,elevenlabs,5238,chars,1.1524
2026-05-14T17:30:34,How Transformer Attention Actually Works,fal_kling,1,clips (Cinematic close-up of glowing neural network nodes connected),0.3000
2026-05-14T17:34:04,How Transformer Attention Actually Works,fal_kling,1,clips (Cinematic visualization of three crystalline vectors labeled),0.3000
2026-05-14T17:37:31,How Transformer Attention Actually Works,fal_kling,1,clips (Cinematic abstract visualization: words connected by glowing),0.3000
2026-05-14T17:38:19,How Transformer Attention Actually Works,assemblyai,334.8,seconds,0.0344
2026-05-14T18:20:01,Sam Altman Just Testified Under Oath. Here's What He Said.,elevenlabs,5820,chars,1.2804
2026-05-14T18:22:32,Sam Altman Just Testified Under Oath. Here's What He Said.,fal_kling,1,clips (Cinematic establishing shot of a federal courthouse exterior),0.3000
2026-05-14T18:25:46,Sam Altman Just Testified Under Oath. Here's What He Said.,fal_kling,1,clips (Cinematic silhouette of a tech executive standing at a witne),0.3000
2026-05-14T18:29:00,Sam Altman Just Testified Under Oath. Here's What He Said.,fal_kling,1,clips (Cinematic abstract: two glowing logos floating in dark space),0.3000
2026-05-14T18:29:37,Sam Altman Just Testified Under Oath. Here's What He Said.,assemblyai,364.0,seconds,0.0374
2026-05-14T19:04:26,Sam Altman Just Testified Under Oath. Here's What He Said.,fal_kling,1,clips (Cinematic shot of an empty AI research lab at twilight: aban),0.3000
2026-05-14T19:07:51,Sam Altman Just Testified Under Oath. Here's What He Said.,fal_kling,1,clips (Cinematic transformation visualization: a stack of legal doc),0.3000
2026-05-14T20:35:01,Microsoft Just Lost Its OpenAI Monopoly,elevenlabs,5108,chars,1.1238
2026-05-14T20:37:26,Microsoft Just Lost Its OpenAI Monopoly,fal_kling,1,clips (Cinematic close-up of two corporate logos drifting apart in ),0.3000
2026-05-14T20:40:51,Microsoft Just Lost Its OpenAI Monopoly,fal_kling,1,clips (Cinematic visualization: a glowing OpenAI logo at center of ),0.3000
2026-05-14T20:44:28,Microsoft Just Lost Its OpenAI Monopoly,fal_kling,1,clips (Cinematic abstract wide shot: four glowing cloud-shaped icon),0.3000
2026-05-14T21:30:24,Anthropic Is Worth 50 Billion. Read That Again.,fal_kling,1,clips (Cinematic close-up of a glowing money counter rapidly scroll),0.3000
2026-05-14T21:33:36,Anthropic Is Worth 50 Billion. Read That Again.,fal_kling,1,clips (Cinematic split screen: left side shows clean Claude logo in),0.3000
2026-05-14T21:36:45,Anthropic Is Worth 50 Billion. Read That Again.,fal_kling,1,"clips (Cinematic stock market trading floor at peak hour, dramatic )",0.3000
2026-05-15T23:51:59,Anthropic Is Worth $950 Billion. Read That Again.,elevenlabs,4817,chars,1.0597
2026-05-15T23:52:36,Anthropic Is Worth $950 Billion. Read That Again.,assemblyai,304.0,seconds,0.0312
2026-05-16T01:28:22,Microsoft Just Lost Its OpenAI Monopoly,elevenlabs,4146,chars,0.9121
2026-05-16T01:28:53,Microsoft Just Lost Its OpenAI Monopoly,assemblyai,269.8,seconds,0.0277
